"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance","GeneLabel"
"HMCN1",39.5908526754452,-1.66069456502399,0.348957639765423,-4.75901477938798,1.9454019237366e-06,5.31597469497461e-05,"Downregulated",""
"CLSTN2",41.3868470048795,-1.48587288655566,0.339472296039169,-4.37700779678415,1.20319671949891e-05,0.000273048935162178,"Downregulated",""
"LINC00261",421.311747742292,-1.4831111448677,0.111310550216052,-13.3240842129431,1.67677693423787e-40,2.22432082039991e-37,"Downregulated","LINC00261"
"HMGCS2",403.084411037752,-1.33380305035456,0.12452217152643,-10.7113699833885,9.00196846710981e-27,4.52954220248505e-24,"Downregulated",""
"SLC14A1",163.939348500644,-1.28858855230535,0.165499137031457,-7.78607414768831,6.91233937231301e-15,9.33933852970292e-13,"Downregulated",""
"NEURL1",78.7797211515212,-1.25029546852071,0.236459137953182,-5.28757517828836,1.23948426002179e-07,4.58094582772386e-06,"Downregulated",""
"HEPACAM2",41.6415901576792,-1.24549580122083,0.322576063933152,-3.86109181826627,0.000112881469996429,0.00189765715459434,"Downregulated",""
"REG4",432.782633425212,-1.24322386798178,0.109311878694292,-11.3731817880347,5.68757713492623e-30,4.36805923962335e-27,"Downregulated",""
"FAM222A",46.4873510913142,-1.23979629427301,0.312923799370593,-3.96197507753231,7.43323010251994e-05,0.00132598647501187,"Downregulated",""
"CLDN2",829.417194742452,-1.23978866340833,0.191946940351101,-6.4590175865297,1.05384866517965e-10,7.53811751093206e-09,"Downregulated",""
"MUC2",380.370862679334,-1.21841053057269,0.112013058247882,-10.8773972394931,1.47720761062196e-27,9.79791520645253e-25,"Downregulated",""
"HES6",124.461178362388,-1.21289298879186,0.201398076896605,-6.02236628810779,1.71885355852564e-09,9.25517015719781e-08,"Downregulated",""
"OR51E1",95.9781327664545,-1.16280271221346,0.22132275831151,-5.25387773532456,1.4892976616715e-07,5.31340622961137e-06,"Downregulated",""
"LGR5",93.7251448928266,-1.14374996912689,0.225273699043529,-5.0771571381082,3.83124005879013e-07,1.24319631270669e-05,"Downregulated",""
"MIR573",41.022135736187,-1.13594437353039,0.332442739800637,-3.41696249468888,0.00063324002767995,0.00790439562352937,"Downregulated",""
"AC005795.1",49.7118215855452,-1.13071936767713,0.30442323618709,-3.71430046483777,0.000203766574790201,0.00308440026902345,"Downregulated",""
"TFF3",56.8067423531029,-1.11930023614647,0.303849772830552,-3.68372905373432,0.000229846554139421,0.0033946567995976,"Downregulated",""
"SERPINA6",50.3063519843327,-1.07915257516214,0.300139133967952,-3.59550772635124,0.00032375951864819,0.0044993322820137,"Downregulated",""
"RP11-848P1.2",39.4135882190309,-1.04196467554126,0.343306184760753,-3.03508856465081,0.0024046506329192,0.022463932161048,"Downregulated",""
"DLL4",146.486777410495,-1.02846036927539,0.173325632093175,-5.93368884252805,2.96202948919088e-09,1.52189909529131e-07,"Downregulated",""
"RAB3B",58.0968576876477,-1.02591237750776,0.279033951849817,-3.67665787875138,0.000236309626124717,0.00346207837792356,"Downregulated",""
