"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance","GeneLabel"
"7SK",71.5848259206378,0.0214475539449889,0.249328842913972,0.086021150599047,0.931449603797356,0.976249478567591,"Not Significant",""
"A4GALT",276.415798372064,-0.0492370908592091,0.12403743366138,-0.396953479331292,0.691401766257416,0.882671441227316,"Not Significant",""
"AAAS",788.33258248856,-0.0679224507966479,0.0789649876050998,-0.86015907627726,0.389701359852458,0.692380645679662,"Not Significant",""
"AACS",1766.70698212597,-0.0284409376152447,0.0573696497048593,-0.495748845627616,0.620071620100631,0.846946228928361,"Not Significant",""
"AACSP1",42.6876154493282,0.0548206052153534,0.361484801347217,0.151653969990004,0.879459863762617,0.957123025759991,"Not Significant",""
"AADAC",77.600228509977,-0.30518172815077,0.235261670943169,-1.29720122673316,0.194561958760821,0.484644606049489,"Not Significant",""
"AADAT",45.9930697292092,-0.245607033641293,0.339818533464734,-0.722759383183501,0.469827725120454,0.750490001637401,"Not Significant",""
"AAED1",91.1898306587604,0.360357701733034,0.225034823539146,1.60134194372965,0.109301203818824,0.345787780184103,"Not Significant",""
"AAGAB",1846.83813399911,0.0790099728755172,0.0579801965958681,1.3627061913265,0.172975125800777,0.452433645266216,"Not Significant",""
"AAK1",836.862921246446,0.139779414035941,0.0779223981921538,1.79382844058841,0.0728405559889906,0.267326306084344,"Not Significant",""
"AAMDC",88.5835795646449,-0.00901238716985736,0.223103374322006,-0.0403955663926883,0.967777764872082,0.988437960734474,"Not Significant",""
"AAMP",1339.42426795625,0.0680808580621331,0.0618268521126644,1.10115355603213,0.270829831366885,0.58279736016894,"Not Significant",""
"AAR2",767.187505950814,0.165428506386851,0.0779070280934094,2.12340927943631,0.0337195702893276,0.161535118076779,"Not Significant",""
"AARS",6105.1039600397,0.56968568852164,0.0525786811770045,10.8349177987902,2.35176532135609e-27,1.37267838276912e-24,"Not Significant",""
"AARS2",811.063971889033,-0.0220135225670107,0.0776056981344591,-0.283658585595999,0.776672035450995,0.915023871141268,"Not Significant",""
"AARSD1",88.2634142477146,0.0469346784022011,0.227080372608322,0.206687517124855,0.836253906795066,0.940181601660652,"Not Significant",""
"AASDH",373.854867856712,-0.00762827429177926,0.108823922189109,-0.0700974026512587,0.944116134003073,0.979556376486445,"Not Significant",""
"AASDHPPT",553.827148101346,0.102942850160299,0.0950903793732816,1.0825790247002,0.278995321644814,0.591299888662473,"Not Significant",""
"AATF",1822.97310051844,0.0872840483787682,0.0567659714457219,1.53761216721583,0.124143470707732,0.373274577491701,"Not Significant",""
"AATK",1194.18215052904,-0.00923379346765877,0.070247000808832,-0.131447511798935,0.895421305708319,0.963000272176871,"Not Significant",""
"ABAT",64.6750097715219,0.207026297852706,0.258012433587095,0.802388842175012,0.422328065356628,0.718815681189654,"Not Significant",""
"ABC7-42389800N19.1",655.877911655238,0.198862591523492,0.096470158752366,2.06138969910853,0.0392658767928574,0.180462259578386,"Not Significant",""
"ABCA1",310.978654358481,-0.314928232259039,0.126584841610892,-2.48788265839202,0.0128506124927994,0.0805827836248084,"Not Significant",""
"ABCA10",47.946980680541,0.00992695671922586,0.311924387043954,0.0318248817070754,0.974611703950971,0.991393097528934,"Not Significant",""
"ABCA11P",54.2019613140984,0.0118163374748019,0.288060131736463,0.0410203848882924,0.967279644747478,0.988205879447959,"Not Significant",""
"ABCA17P",46.4414886881835,-0.376393633476628,0.338365101006865,-1.11238905063377,0.265970910353722,0.577355478504556,"Not Significant",""
"ABCA2",4044.18895887099,-0.00107730771820642,0.0630715171723131,-0.0170807325795444,0.986372209845335,0.994946302204124,"Not Significant",""
"ABCA5",359.928803184703,0.10947366520964,0.123397055567797,0.88716594335181,0.374989565154866,0.680823323608481,"Not Significant",""
"ABCA7",1311.3688384706,0.168304924999115,0.0677839820811746,2.48296013057423,0.0130295669925381,0.0813205481416236,"Not Significant",""
"ABCB10",375.067060251887,-0.024809041111195,0.112759823589227,-0.220016671909419,0.825858170518994,0.934107621441218,"Not Significant",""
"ABCB7",833.562373155683,-0.15822430809763,0.0754303356122051,-2.09762169044398,0.0359385774642672,0.169549215117552,"Not Significant",""
"ABCB8",1020.7159413207,-0.0247752945503204,0.0721614007595986,-0.343331674406624,0.731348954637001,0.898857461190766,"Not Significant",""
"ABCB9",178.570943227644,0.0274245420493672,0.154684240700888,0.177293704420723,0.859277695607459,0.950252378499738,"Not Significant",""
"ABCC1",2627.07903380051,-0.0403727589649131,0.0527534843080486,-0.765309808337219,0.444087084839831,0.732272563083312,"Not Significant",""
"ABCC10",850.547888912804,0.0202378970035053,0.077969084708148,0.259563095799563,0.795200806096091,0.923189606377131,"Not Significant",""
"ABCC3",19614.3423078768,0.165697029283998,0.0326523395378367,5.07458367851383,3.88345308825227e-07,1.25648220540526e-05,"Not Significant",""
"ABCC4",2740.53464945465,-0.288597364575205,0.0492035843674281,-5.8653727830091,4.48124741085518e-09,2.20169569761612e-07,"Not Significant",""
"ABCC5",602.526630709899,-0.318118217404363,0.0954631894168701,-3.33236527448501,0.000861111522530819,0.0100362135277713,"Not Significant",""
"ABCC6",40.4880460834722,-0.184306902368994,0.329637965255738,-0.5591191603977,0.576080399099981,0.821673926011321,"Not Significant",""
"ABCC8",75.5084425944918,0.0896571802784518,0.239040789869034,0.375070632621208,0.707607937150301,0.889651009438512,"Not Significant",""
"ABCD1",532.212026618389,0.267598901036913,0.0951837108322419,2.81139386873188,0.00493273612425352,0.0392895663346656,"Not Significant",""
"ABCD3",2159.43999423466,-0.127972272640695,0.0625406304627633,-2.04622613641367,0.0407341269986363,0.184938513118887,"Not Significant",""
"ABCD4",758.450757472942,0.185145253242557,0.0774325602565726,2.39105167941081,0.0168001879044837,0.0978870713826768,"Not Significant",""
"ABCE1",1262.93839407149,-0.0165648328303023,0.0691692584749821,-0.239482585118267,0.810731398702967,0.928903309755027,"Not Significant",""
"ABCF1",1592.65849625338,-0.0915265033162544,0.0619911421655961,-1.47644486161847,0.139824506989873,0.400533805652969,"Not Significant",""
"ABCF2",2165.76098868514,0.00323224226374515,0.0553505069538627,0.0583958926779005,0.953433286359509,0.982590473519171,"Not Significant",""
"ABCF3",853.687799352099,0.126996398110955,0.0823373339321336,1.54239142860311,0.12297850319911,0.371050350679546,"Not Significant",""
"ABCG1",359.601428094223,0.415524791660307,0.128166412821794,3.24207241594617,0.00118663865752548,0.0129509583325444,"Not Significant",""
"ABCG2",1061.76295855031,-0.0682187622637477,0.0788765171490989,-0.864880508539633,0.387104376785685,0.690116881093331,"Not Significant",""
"ABHD10",676.195230775649,-0.0498811315053405,0.0841497733728355,-0.59276608249836,0.553337709541902,0.808942007813456,"Not Significant",""
"ABHD11",868.013230778772,0.087802517368359,0.0789760886716693,1.11176077272431,0.266241022153413,0.577693530894067,"Not Significant",""
"ABHD12",1773.89821562148,0.166326001850746,0.0581159644458056,2.86196750646458,0.00421020068266781,0.0349919651100069,"Not Significant",""
"ABHD13",497.246473324964,-0.181565523267178,0.104200413765451,-1.74246451339312,0.0814271957546802,0.287696280981185,"Not Significant",""
"ABHD14A",56.7569495656592,0.0503584728762667,0.294112930126982,0.171221553756663,0.864049560301885,0.952209892298551,"Not Significant",""
"ABHD14B",443.927940121545,0.176937482145518,0.0995813893810108,1.77681274829911,0.0755990536798348,0.274173872431543,"Not Significant",""
"ABHD15",442.905555053213,-0.110302468868002,0.124101042325084,-0.888811784344752,0.374104241502715,0.680325161017899,"Not Significant",""
"ABHD16B",152.540531111283,-0.159904646041327,0.17270479952894,-0.925884205172491,0.35450616049558,0.663610379338116,"Not Significant",""
"ABHD17A",399.342667707838,-0.136757626330866,0.106300197969319,-1.28652278117429,0.198260673467887,0.48901618445629,"Not Significant",""
"ABHD17B",312.396739284907,0.11189626398519,0.116301117152806,0.962125444058899,0.335986594390666,0.648340710051714,"Not Significant",""
"ABHD17C",904.092610505968,-0.0754284691524342,0.0824122229119259,-0.915258277076749,0.36005605703399,0.668336616245072,"Not Significant",""
"ABHD2",8181.51978478873,0.199358831943495,0.0423518402859795,4.70720588756783,2.51135232673572e-06,6.73633329994993e-05,"Not Significant",""
"ABHD3",332.420160055174,0.077719849528128,0.114576911566564,0.6783203392856,0.497568605346853,0.772999434054156,"Not Significant",""
"ABHD4",183.796311190521,0.252653929280056,0.151744968639076,1.66499048730236,0.0959146536922604,0.319759338971319,"Not Significant",""
"ABHD5",165.870260548118,0.236795776553049,0.171331226875349,1.3820935089978,0.166942991272372,0.443607075361499,"Not Significant",""
"ABHD6",112.352110648598,-0.0678871099393489,0.213955125590015,-0.317296020612451,0.751018996580371,0.905362943936123,"Not Significant",""
"ABHD8",104.602538215298,0.126431520757298,0.200652019573536,0.630103405019367,0.528626932051458,0.793756348270721,"Not Significant",""
"ABI1",1284.40065480725,-0.0810893680794925,0.0717073594272241,-1.1308374583475,0.258123510691055,0.568669177435917,"Not Significant",""
"ABI2",2591.50250629862,-0.0618924799774055,0.0479434366568609,-1.29094792307819,0.196721736143313,0.487317038530856,"Not Significant",""
"ABI3BP",105.615169076791,-0.0754061930259695,0.212863067831549,-0.354247422035855,0.723153467157878,0.89532117705479,"Not Significant",""
"ABL1",1523.07174287955,0.219081549863218,0.0653486633606244,3.35250238637971,0.000800845510288259,0.00955740016355453,"Not Significant",""
"ABL2",999.160899097063,0.0167482556747857,0.0744787559258637,0.224872924723084,0.822078132816751,0.933396984646486,"Not Significant",""
"ABLIM1",7828.77964349971,0.191343869972784,0.0401445518349077,4.76637205366435,1.8757274973696e-06,5.13519993276121e-05,"Not Significant",""
"ABLIM3",1419.64097253562,0.22842839347491,0.0742445204237377,3.07670373747712,0.0020930321314058,0.0201994212046782,"Not Significant",""
"ABR",3004.10989443208,0.0478706199123208,0.045146537020595,1.06033868977554,0.288990543708743,0.602163360530911,"Not Significant",""
"ABRACL",242.478163018789,-0.202352407913502,0.139776380410597,-1.44768670728979,0.147704689179186,0.412953964906304,"Not Significant",""
"ABT1",397.469075146569,0.0214294259617539,0.115260097755508,0.185922330269149,0.852505670483238,0.946778562085148,"Not Significant",""
"ABTB1",368.272573444772,-0.0782566437284397,0.111408403870287,-0.70243034645352,0.482410825775286,0.761915658589997,"Not Significant",""
"ABTB2",1092.91366443884,0.302239903507458,0.0714799348256427,4.22831811815017,2.35444737127728e-05,0.000496475376324828,"Not Significant",""
"AC000068.5",79.7864272650684,0.229000791373362,0.251189258965325,0.911666336039367,0.361944390358066,0.66952926080849,"Not Significant",""
"AC000078.5",105.858954768446,-0.128325431685699,0.200486549479983,-0.640070029727911,0.522127072362191,0.789357463728666,"Not Significant",""
"AC000111.3",57.2484523533315,-0.260133938246773,0.287918016780904,-0.903500035028117,0.366260569667895,0.673327838698157,"Not Significant",""
"AC000111.4",74.0908131879709,-0.157052463656128,0.253333824321494,-0.619942733966786,0.535295489726521,0.797698475704886,"Not Significant",""
"AC000111.6",86.6515339937719,-0.329389805065496,0.23156369288376,-1.42245876701769,0.15489311337418,0.425243107614449,"Not Significant",""
"AC000120.7",62.4646370362794,0.0544891134676811,0.255064118489089,0.213629081936164,0.830836318788763,0.936850061466221,"Not Significant",""
"AC000123.4",99.1077985483604,-0.28007796661862,0.217486078955839,-1.28779721425522,0.197816562269344,0.488581461854141,"Not Significant",""
"AC002056.3",96.9199345434344,0.0899845251947393,0.20544546493382,0.437997135754376,0.661388359738908,0.867249544382055,"Not Significant",""
"AC002075.3",41.6852904408691,0.287288922203529,0.318460364003471,0.902118300035596,0.36699402864293,0.674031071863768,"Not Significant",""
"AC002128.5",121.914232194122,-0.174736584591726,0.196830913291157,-0.887749701863403,0.374675404234256,0.68058687321367,"Not Significant",""
"AC002543.2",83.4340344622946,-0.178102155785195,0.237454233944382,-0.750048347535094,0.453225586776531,0.739761494658069,"Not Significant",""
"AC002551.1",44.4973998281759,0.303598246707162,0.330692499494867,0.918068136322743,0.358583195295407,0.667403824713084,"Not Significant",""
"AC003104.1",39.5687681103343,-0.143739417752405,0.325907239010358,-0.441043955295012,0.659181175830705,0.866217949099409,"Not Significant",""
"AC003665.1",246.541887726758,-0.0280593759348225,0.14120949597518,-0.198707429277663,0.842491612192403,0.942763620023891,"Not Significant",""
"AC003989.3",39.9231742908988,-0.212957183352611,0.359976823364553,-0.591585817559557,0.554127973211245,0.809063455490298,"Not Significant",""
"AC003989.4",85.0770147266303,-0.0448261554641467,0.220750443918251,-0.203062583560407,0.839086116413197,0.940900992138735,"Not Significant",""
