"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance","GeneLabel"
"G0S2",77.9906648476163,3.3019025469181,0.338495016782979,9.75465629686086,1.761964970998e-22,5.47033890570273e-20,"Upregulated",""
"TXNIP",3779.15506255411,1.9838331004956,0.186514141936994,10.636368266197,2.0184403807107e-26,9.20408813604078e-24,"Upregulated",""
"ATF3",383.781225640676,1.87075110200592,0.152987424625271,12.2281364405483,2.19926319687546e-34,2.00572803555042e-31,"Upregulated",""
"ARRDC4",516.086817161107,1.85706628481316,0.124522237256257,14.9135313156273,2.69134084048708e-50,5.61029222062677e-47,"Upregulated","ARRDC4"
"CHAC1",787.303771554936,1.8497818065156,0.192788241910239,9.59488912906241,8.40073704587534e-22,2.22879190860751e-19,"Upregulated",""
"UNC5B",100.856403829531,1.7424886493927,0.25264667685714,6.89693872513507,5.31350867306597e-12,4.58785316907566e-10,"Upregulated",""
"DDIT4",527.744803187047,1.73641673808406,0.246596727091093,7.04152386192307,1.90148642974624e-12,1.767292355596e-10,"Upregulated",""
"KNDC1",61.1354417982976,1.69931923319916,0.284581271219008,5.97129679658856,2.35375098242122e-09,1.2266405119818e-07,"Upregulated",""
"ASS1",957.554210293442,1.62251864728439,0.173123012699162,9.37205644696038,7.11328593291151e-21,1.6741462634362e-18,"Upregulated",""
"DDIT3",306.784134823149,1.61294685017464,0.149301436452828,10.8032909025912,3.32083496072512e-27,1.86375475949619e-24,"Upregulated",""
"PRSS1",69.0408700890379,1.60654894822328,0.29829664571326,5.38574258648416,7.21461551785282e-08,2.86854685658061e-06,"Upregulated",""
"LARP6",99.0016775526664,1.57701981982436,0.215255981600723,7.32625318050191,2.36676474782757e-13,2.57730083584327e-11,"Upregulated",""
"TSC22D3",894.793071064004,1.55278422314497,0.09272216309873,16.7466350142368,5.9921216737306e-63,2.91456798210256e-59,"Upregulated","TSC22D3"
"SLC6A9",345.951278159191,1.54403193852942,0.163451493053846,9.44642297039624,3.50607602637559e-21,8.67129853845297e-19,"Upregulated",""
"SESN2",1103.29435294479,1.50716214908728,0.0891639695558005,16.9032643633488,4.25674571416701e-64,3.10572167305625e-60,"Upregulated","SESN2"
"LINC01133",59.6498062566727,1.45395442108906,0.290210192051629,5.01000468250406,5.44287111287934e-07,1.67205000587653e-05,"Upregulated",""
"PI3",54.3615900616701,1.43910031021775,0.315602522501456,4.55985046891096,5.11900581369564e-06,0.00012790502197508,"Upregulated",""
"PADI2",212.652029973205,1.43720935297433,0.151491590420535,9.48705699758441,2.37648913827549e-21,6.19245169744926e-19,"Upregulated",""
"NEBL",180.155387466467,1.3519039075518,0.168434690474533,8.02627952557204,1.00473150275747e-15,1.43735706747421e-13,"Upregulated",""
"IZUMO1",42.2109111374949,1.34793310218027,0.368926092291485,3.65366703614794,0.000258521473410646,0.00372720445270081,"Upregulated",""
"DMGDH",39.9390827258549,1.33904927504688,0.349816940506528,3.82785714467677,0.000129263740739045,0.00211934438748781,"Upregulated",""
"HBEGF",447.575192021426,1.29573404177071,0.128448607818166,10.0875678123735,6.270388301711e-24,2.28743765246417e-21,"Upregulated",""
"CTC-459F4.1",177.326113931947,1.29121763764056,0.186169100828638,6.93572473570184,4.04143854934428e-12,3.53129768335519e-10,"Upregulated",""
"BIRC3",168.650177868282,1.27719154435974,0.184564893039264,6.92001346154187,4.51600729900908e-12,3.92247491113932e-10,"Upregulated",""
"PMAIP1",133.767089107213,1.26481128547711,0.18446776192791,6.85654377902303,7.05464683478994e-12,5.860781371492e-10,"Upregulated",""
"SLC7A11-AS1",636.884650681498,1.20692830887495,0.0909783690028482,13.266101844903,3.64030555864717e-40,4.0861029778292e-37,"Upregulated","SLC7A11-AS1"
"NDUFA4L2",81.0601402986365,1.20568909021715,0.233103748103681,5.17232820160779,2.31195034699651e-07,7.82737342537658e-06,"Upregulated",""
"CYP24A1",84.5162778096368,1.20446879975786,0.229018774766545,5.25925789702465,1.44637919274016e-07,5.18564255048265e-06,"Upregulated",""
